iter	RMSE
185	22.39310241
186	22.37979286
187	22.3707777
188	22.32203135
189	22.27970924
190	22.25510109
191	22.24379888
192	22.23461921
193	22.19589917
194	22.13911517
195	22.12951556
196	22.0441369
197	22.03694086
198	22.02712108
199	21.972306
200	21.96664273
201	21.95258822
202	21.86157936
203	21.78466701
204	21.73804027
205	21.66454295
206	21.6481067
207	21.60470442
208	21.56648905
209	21.55956249
210	21.52518674
211	21.47845613
212	21.47250388
213	21.45503007
214	21.3951437
215	21.38369205
216	21.37830416
217	21.36711389
218	21.29890112
219	21.25875125
220	21.22787031
221	21.16778717
222	21.10201717
223	21.06634199
224	21.03872869
225	21.01322022
226	21.0078415
227	20.96819959
228	20.96139299
229	20.9197462
230	20.88992428
231	20.85656354
232	20.84540844
233	20.82265999
234	20.78200556
235	20.77633869
236	20.73995912
237	20.70704245
238	20.69559051
239	20.67691066
240	20.67190694
241	20.66805533
242	20.65898292
243	20.62662468
244	20.59665028
245	20.56767746
246	20.55961436
247	20.55017733
248	20.5462086
249	20.54270751
250	20.53997114
251	20.4894816
252	20.46346666
253	20.43196553
254	20.42151919
255	20.39522806
256	20.3590863
257	20.32864039
258	20.29542476
259	20.27335729
260	20.2599971
261	20.25575864
262	20.21998158
263	20.20741834
264	20.19465304
265	20.17856955
266	20.15200572
267	20.14140793
268	20.12365771
269	20.0996023
270	20.05635802
271	20.03552615
272	20.02861965
273	20.012862
274	19.99410472
275	19.9914398
276	19.97969058
277	19.95519636
278	19.93655913
279	19.9262907
280	19.91249243
281	19.89800466
282	19.89031536
283	19.85942467
284	19.83129335
285	19.81540039
286	19.80289682
287	19.78040909
288	19.7694762
289	19.75887909
290	19.73271473
291	19.70943435
292	19.67255972
293	19.65467144
294	19.64165027
295	19.61898961
296	19.60920544
297	19.57708308
298	19.55569612
299	19.55035795
300	19.52029893
301	19.50594491
302	19.48833459
303	19.48049133
304	19.47247982
305	19.44545024
306	19.40538829
307	19.37521458
308	19.35049932
309	19.34012306
310	19.33119928
311	19.30305045
312	19.27496445
313	19.26123189
314	19.23757499
315	19.22772901
316	19.20753556
317	19.2008625
318	19.17503736
319	19.15973697
320	19.12388984
321	19.1050726
322	19.08952539
323	19.06801423
324	19.04975487
325	19.04136226
326	19.02242316
327	19.00058569
328	18.98741677
329	18.96619129
330	18.95430405
331	18.94735396
332	18.93486479
333	18.91896364
334	18.89602197
335	18.87951696
336	18.85435458
337	18.83438572
338	18.81886751
339	18.8093668
340	18.79807784
341	18.78131069
342	18.77502261
343	18.74665014
344	18.72763078
345	18.71172245
346	18.69499157
347	18.67022143
348	18.65228682
349	18.64705889
350	18.63352821
351	18.62751155
352	18.60456487
353	18.57848538
354	18.57105438
355	18.56650527
356	18.5489897
357	18.54084015
358	18.51650203
359	18.50016137
360	18.47312554
361	18.45427233
362	18.4292588
363	18.41769317
364	18.41144284
365	18.39365178
366	18.36934442
367	18.35489295
368	18.34625235
369	18.32472194
370	18.31085985
371	18.29039742
372	18.26938307
373	18.26099812
374	18.24354507
375	18.22141962
376	18.21092622
377	18.19164305
378	18.18361718
379	18.17719806
380	18.16122201
381	18.15454436
382	18.13643743
383	18.12261069
384	18.11327895
385	18.09984238
386	18.09213147
387	18.0802029
388	18.05493688
389	18.04599535
390	18.03902167
391	18.02134485
392	18.01159048
393	18.00576435
394	17.98372116
395	17.96843654
396	17.95647694
397	17.9415111
398	17.93387977
399	17.91201343
400	17.90064601
401	17.88700352
402	17.87625782
403	17.86332024
404	17.84413679
405	17.83271451
406	17.82253135
407	17.81392008
408	17.80091805
409	17.7889651
410	17.77235475
411	17.76289986
412	17.74989816
413	17.74198759
414	17.73518761
415	17.7290745
416	17.71415327
417	17.70485962
418	17.69499981
419	17.68345425
420	17.67132328
421	17.66342903
422	17.64954129
423	17.6381689
424	17.62404972
425	17.61742331
426	17.60588929
427	17.59743757
428	17.5885196
429	17.58073785
430	17.56957335
431	17.5616471
432	17.54655329
433	17.53272443
434	17.52081238
435	17.5038732
436	17.50083898
437	17.49145312
438	17.48529036
439	17.46439287
440	17.44231576
441	17.43773722
442	17.42525348
443	17.40957105
444	17.39384305
445	17.38550734
446	17.36809551
447	17.36305095
448	17.34462788
449	17.33746477
450	17.33310609
451	17.3195355
452	17.31032203
453	17.29593542
454	17.29282697
455	17.27897004
456	17.2708239
457	17.2621105
458	17.25486094
459	17.24141376
460	17.22959823
461	17.22252356
462	17.2073831
463	17.19844974
464	17.19036776
465	17.1562528
466	17.14973201
467	17.13655628
468	17.13455873
469	17.12203
470	17.09915857
471	17.08645609
472	17.07884753
473	17.06061528
474	17.05482933
475	17.04701715
476	17.03249672
477	17.02395579
478	17.01774493
479	16.99712711
480	16.97963784
481	16.96732483
482	16.96015448
483	16.95062297
484	16.94271337
485	16.93360487
486	16.92545711
487	16.91968723
488	16.9105954
489	16.89934266
490	16.89145228
491	16.88366584
492	16.87883438
493	16.87581933
494	16.85807096
495	16.84773482
496	16.82091786
497	16.81290342
498	16.80187319
499	16.7947742
500	16.78170724
501	16.77004494
502	16.76559785
503	16.75948636
504	16.74983538
505	16.72883252
506	16.71742122
507	16.70992538
508	16.70103035
509	16.68941707
510	16.67814709
511	16.66159365
512	16.65512414
513	16.64559841
514	16.63786968
515	16.62918322
516	16.62254359
517	16.60430488
518	16.59532873
519	16.58146739
520	16.57647483
521	16.57039292
522	16.56075414
523	16.54829502
524	16.53929498
525	16.53032116
526	16.52326462
527	16.51300928
528	16.50643862
529	16.49898208
530	16.48065382
531	16.47268456
532	16.46582623
533	16.44715342
534	16.44117881
535	16.43351099
536	16.42097652
537	16.4093065
538	16.40141498
539	16.39413773
540	16.38138294
541	16.37434633
542	16.36900473
543	16.36573303
544	16.35885044
545	16.35075924
546	16.34493645
547	16.3399768
548	16.33285615
549	16.32935003
550	16.32558493
551	16.31498029
552	16.30101166
553	16.29264946
554	16.28971614
555	16.27386802
556	16.26382977
557	16.25876692
558	16.25233044
559	16.24697936
560	16.24230193
561	16.23648112
562	16.22710592
563	16.22391409
564	16.21045736
565	16.20143985
566	16.19465579
567	16.18980129
568	16.18874756
569	16.18223712
570	16.17321565
571	16.16553071
572	16.15193915
573	16.14560999
574	16.13693426
575	16.12823602
576	16.12344407
577	16.11668099
578	16.10829568
579	16.10793895
580	16.10062889
581	16.09111913
582	16.07884445
583	16.06728452
584	16.0550657
585	16.04736595
586	16.0393957
587	16.02418803
588	16.02007126
589	16.01670099
590	16.01227109
591	16.00764202
592	16.00268893
593	15.99323519
594	15.98912005
595	15.9753295
596	15.96327354
597	15.95791582
598	15.94659376
599	15.9409638
600	15.93611607
601	15.93243301
602	15.92582972
603	15.91515734
604	15.90609771
605	15.89946676
606	15.89604926
607	15.89368236
608	15.88413685
609	15.88010426
610	15.87394087
611	15.86742432
612	15.85572328
613	15.85087854
614	15.84708821
615	15.83492785
616	15.82949244
617	15.82290251
618	15.81916553
619	15.81199401
620	15.80304731
621	15.79682277
622	15.78944515
623	15.78413236
624	15.77491915
625	15.76469142
626	15.76042989
627	15.75213873
628	15.75133485
629	15.74575805
630	15.73834969
631	15.73369528
632	15.72747988
633	15.72387334
634	15.71897997
635	15.71454192
636	15.71217659
637	15.70660788
638	15.69488707
639	15.68335012
640	15.67828574
641	15.67579314
642	15.66869684
643	15.65933283
644	15.65912438
645	15.64774138
646	15.63888977
647	15.63869319
648	15.63488818
649	15.62851515
650	15.61572991
651	15.61074438
652	15.60632303
653	15.59926466
654	15.5897616
655	15.58585284
656	15.57353142
657	15.56139316
658	15.55084272
659	15.54506127
660	15.53647862
661	15.52849624
662	15.52274014
663	15.51990341
664	15.51269597
665	15.50465198
666	15.50172907
667	15.49081639
668	15.48749867
669	15.47824547
670	15.47376807
671	15.46494299
672	15.46482251
673	15.45834442
674	15.44779718
675	15.44256786
676	15.43766404
677	15.4334072
678	15.42950903
679	15.42594587
680	15.41943367
681	15.41136723
682	15.40306559
683	15.40059186
684	15.39350356
685	15.3866016
686	15.38477444
687	15.38020518
688	15.37304006
689	15.3688692
690	15.36307391
691	15.35398601
692	15.35055059
693	15.3406954
694	15.33323186
695	15.32759872
696	15.31874645
697	15.31590284
698	15.31367769
699	15.30420338
700	15.29683992
701	15.28699765
702	15.28048928
703	15.27211009
704	15.26559131
705	15.25815932
706	15.2541442
707	15.25360481
708	15.25024818
709	15.24146639
710	15.23819475
711	15.23213493
712	15.22828639
713	15.22263534
714	15.21633555
715	15.21240709
716	15.20978875
717	15.20618541
718	15.19814549
719	15.1946995
720	15.19155628
721	15.19148089
722	15.19106981
723	15.18465031
724	15.18100718
725	15.18094455
726	15.17576461
727	15.16935626
728	15.16437487
729	15.15891981
730	15.15605788
731	15.1525814
732	15.14819344
733	15.14656747
734	15.13139805
735	15.12582974
736	15.12306253
737	15.12272532
738	15.1222229
739	15.10920303
740	15.1015803
741	15.09421762
742	15.08741828
743	15.08144338
744	15.07377656
745	15.06957904
746	15.06576462
747	15.05776483
748	15.05353436
749	15.04956674
750	15.03902846
751	15.03353218
752	15.02909844
753	15.02674904
754	15.02427345
755	15.01736975
756	15.00940966
757	15.00012382
758	14.99379962
759	14.9910368
760	14.9841657
761	14.98178723
762	14.97838236
763	14.97526048
764	14.97048523
765	14.96235857
766	14.95895787
767	14.9537597
768	14.946165
769	14.94045967
770	14.93426616
771	14.92914911
772	14.92383908
773	14.92144796
774	14.91495611
775	14.90974276
776	14.90696228
777	14.90186763
778	14.89523925
779	14.88976351
780	14.88428821
781	14.87911525
782	14.87294902
783	14.86481393
784	14.86132937
785	14.85738377
786	14.85237282
787	14.84529098
788	14.84293746
789	14.83437203
790	14.83131533
791	14.82933003
792	14.82093208
793	14.81778134
794	14.81445968
795	14.8059527
796	14.80300012
797	14.79798952
798	14.7979405
799	14.79439847
800	14.78953135
801	14.78695694
802	14.78228602
803	14.77802084
804	14.77455515
805	14.77381898
806	14.76968678
807	14.76403562
808	14.75370788
809	14.74910374
810	14.74600638
811	14.74131281
812	14.73995792
813	14.73991376
814	14.73920103
815	14.73377422
816	14.7265957
817	14.71460285
818	14.71216149
819	14.70459018
820	14.70173142
821	14.69609706
822	14.69156007
823	14.68211482
824	14.67877788
825	14.67240669
826	14.66522116
827	14.65887914
828	14.65845168
829	14.65630493
830	14.65463488
831	14.65053349
832	14.65022473
833	14.64618296
834	14.64208427
835	14.63663592
836	14.63167798
837	14.63088573
838	14.62738901
839	14.62209923
840	14.61677864
841	14.61639025
842	14.61190959
843	14.60306201
844	14.59784398
845	14.59334601
846	14.58572808
847	14.58109536
848	14.57978465
849	14.57531119
850	14.57035836
851	14.56865534
852	14.56553626
853	14.55876891
854	14.55567899
855	14.54955682
856	14.54382144
857	14.53987507
858	14.53520042
859	14.52991651
860	14.52497012
861	14.52072381
862	14.51501589
863	14.51214569
864	14.50634929
865	14.50099518
866	14.4982553
867	14.49466704
868	14.49030477
869	14.48865967
870	14.48806774
871	14.48123709
872	14.47843414
873	14.47432211
874	14.47165328
875	14.46897514
876	14.46663817
877	14.46282227
878	14.45900197
879	14.4499052
880	14.44636961
881	14.44420893
882	14.44010085
883	14.43480003
884	14.42909338
885	14.42562115
886	14.42073817
887	14.41659578
888	14.4141306
889	14.40872838
890	14.40444266
891	14.39986929
892	14.39172714
893	14.38477776
894	14.37856142
895	14.37530053
896	14.37141624
897	14.36438619
898	14.35508752
899	14.35324528
900	14.34487693
901	14.34126283
902	14.33833585
903	14.3339948
904	14.32842958
905	14.32526134
906	14.32224119
907	14.31898959
908	14.31551163
909	14.3088188
910	14.30580778
911	14.30068491
912	14.29883033
913	14.29699533
914	14.29297329
915	14.28996668
916	14.28859969
917	14.28314636
918	14.27926106
919	14.27329985
920	14.26961161
921	14.26306961
922	14.25855864
923	14.25572311
924	14.25097801
925	14.24902778
926	14.24578849
927	14.24074781
928	14.23727977
929	14.2337521
930	14.22836412
931	14.22589692
932	14.2198773
933	14.21536175
934	14.21356148
935	14.20993263
936	14.20297776
937	14.19931727
938	14.19611409
939	14.18877933
940	14.18243976
941	14.17911873
942	14.17435519
943	14.17050562
944	14.16776318
945	14.16382042
946	14.15200556
947	14.14915831
948	14.14538051
949	14.14108685
950	14.13640071
951	14.13302797
952	14.12720513
953	14.12522982
954	14.12129482
955	14.11920645
956	14.11764867
957	14.11333328
958	14.10902196
959	14.10585173
960	14.10369245
961	14.09930935
962	14.09583492
963	14.09242679
964	14.08895091
965	14.08393084
966	14.0812459
967	14.07767977
968	14.07042979
969	14.06586218
970	14.05615752
971	14.05024519
972	14.04606793
973	14.04110425
974	14.03598947
975	14.02925606
976	14.02707194
977	14.01803142
978	14.01531393
979	14.01333877
980	14.00908688
981	14.00200649
982	13.99986371
983	13.99511323
984	13.99076765
985	13.98789755
986	13.98352243
987	13.97899317
988	13.97417134
989	13.9711571
990	13.96517477
991	13.96077486
992	13.95631332
993	13.95311673
994	13.94819974
995	13.94367668
996	13.94095883
997	13.93743469
998	13.93635545
999	13.9295231
